
transcript25-:
--------Lecture: b'material' b'blood' b'cells' b'materials' b'heart' b'body' b'polymer' b'metal' b'example' b'ball' 
--------22 paragraph: b'blood' b'clot' b'network' b'cells' b'fibronectin' b'version' b'seal' b'bleeding' b'system' b'lots' 
--------23 paragraph: b'cells' b'platelets' b'blood' b'surface' b'proteins' b'heart' b'valve' b'barrier' b'networks' b'gel' 
--------24 paragraph: b'reaction' b'clotting' b'heart' b'materials' b'sort' b'surface' b'valve' b'valves' b'criteria' b'kinds' 
--------25 paragraph: b'brain' b'embolism' b'blood' b'example' b'surface' b'arteries' b'clot' b'stroke' b'valve' b'heart' 
--------26 paragraph: b'material' b'cells' b'part' b'body' b'reactions' b'mesh' b'dots' b'response' b'forms' b'tissue' 
--------27 paragraph: b'response' b'body' b'materials' b'ways' b'surface' b'reaction' b'things' b'material' b'cartoon' b'perspective' 
--------28 paragraph: b'proteins' b'blood' b'material' b'absorption' b'protein' b'example' b'kinds' b'body' b'contact' b'valve' 
--------29 paragraph: b'cells' b'proteins' b'material' b'gels' b'matrix' b'body' b'layers' b'cell' b'protein' b'days' 
--------30 paragraph: b'cells' b'process' b'body' b'healing' b'something' b'tissues' b'bloodstream' b'site' b'event' b'time' 
--------31 paragraph: b'cells' b'signals' b'material' b'site' b'enzymes' b'help' b'ways' b'body' b'variety' b'kinds' 
--------32 paragraph: b'splinter' b'scar' b'body' b'response' b'kind' b'tissue' b'skin' b'chemicals' b'weeks' b'healing' 
--------33 paragraph: b'material' b'responses' b'rest' b'body' b'scar' b'materials' b'levels' b'response' b'site' b'cells' 
--------34 paragraph: b'hip' b'socket' b'material' b'girdle' b'weeks' b'replacement' b'bone' b'part' b'femur' b'section' 
--------35 paragraph: b'metal' b'polymer' b'ball' b'something' b'pieces' b'material' b'cup' b'layer' b'teflon' b'years' 
--------36 paragraph: b'student' 
--------37 paragraph: b'years' b'ways' b'time' b'design' b'closer' b'ones' b'lifetime' b'designs' b'replacements' b'hip' 
--------38 paragraph: b'rest' b'metal' b'piece' b'leg' b'material' b'femur' b'plastic' b'weight' b'body' b'hip' 
--------39 paragraph: b'femur' b'bone' b'metal' b'length' b'nail' b'piece' b'shaft' b'thick' b'contact' b'part' 
--------40 paragraph: b'bone' b'design' b'holes' b'material' b'mechanism' b'sort' b'implant' b'sides' b'time' b'well' 
--------41 paragraph: b'material' b'polymer' b'bone' b'cavity' b'place' b'light' b'materials' b'cement' b'hardens' b'thing' 
--------42 paragraph: b'hip' b'joint' b'years' b'polymer' b'pain' b'implant' b'kind' b'motion' b'metals' b'range' 
--------43 paragraph: b'teflon' b'time' b'thinner' b'polymer' b'friction' b'hip' b'cup' b'metal' b'ball' b'materials' 
--------44 paragraph: b'particles' b'material' b'hips' b'design' b'problems' b'tissue' b'polymer' b'polyethylene' b'body' b'reactions' 
--------45 paragraph: b'years' b'materials' b'ways' b'cups' b'metal' b'sticks' b'people' b'kinds' b'example' b'past' 
--------46 paragraph: b'polymer' b'metal' b'improvements' b'materials' b'head' b'friction' b'time' b'amount' b'room' b'operating' 
--------47 paragraph: b'blood' b'treatment' b'device' b'something' b'example' b'means' b'patient' b'body' b'unit' b'extracorporeal' 
--------48 paragraph: b'fibers' b'blood' b'dialysate' b'urea' b'molecules' b'hollow' b'side' b'outside' b'solution' b'waste' 
--------49 paragraph: b'cells' b'blood' b'solution' b'salt' b'fibers' b'hollows' b'area' b'pancreas' b'dialysate' b'molecules' 
--------50 paragraph: b'cells' b'blood' b'insulin' b'pancreas' b'glucose' b'sugar' b'body' b'patient' b'device' b'a' 
--------51 paragraph: b'puck' b'lot' b'unit' b'shell' b'body' b'size' b'dialysis' b'outside' b'plastic' b'example' 
--------52 paragraph: b'cells' b'pancreas' b'materials' b'shell' b'design' b'diabetes' b'device' b'side' b'body' b'kind' 
--------53 paragraph: b'cells' b'insulin' b'patient' b'problems' b'years' b'designs' b'problem' b'people' b'person' b'culture' 
--------54 paragraph: b'device' b'patients' b'liver' b'disease' b'functions' b'idea' b'kind' b'pancreas' b'function' b'people' 
--------55 paragraph: b'dialysis' b'liver' b'unit' b'transplant' b'cells' b'organ' b'example' b'pig' b'body' b'devices' 
--------56 paragraph: b'heart' b'machine' b'lungs' b'bypass' b'surgeons' b'operation' b'unit' b'everyday' b'function' b'functions' 
--------57 paragraph: b'heart' b'surgeon' b'blood' b'function' b'lungs' b'carbon' b'oxygenater' b'body' b'pump' b'pumps' 
--------58 paragraph: b'heart' b'function' b'decades' b'engineers' b'goal' b'team' b'room' b'operating' b'problems' b'something' 
--------59 paragraph: b'device' b'heart' b'book' b'pressure' b'blood' b'boost' b'force' b'ventricle' b'assist' b'muscle' 
--------60 paragraph: b'heart' b'function' b'patients' b'vasculature' b'form' b'pump' b'patient' b'decision' b'polymers' b'world' 
--------61 paragraph: b'power' b'blood' b'problems' b'energy' b'heart' b'patient' b'source' b'hearts' b'reactions' b'so' 
--------62 paragraph: b'course' b'half' b'material' b'questions' b'thanks' b'review' b'pleasure' b'section' b'afternoon' 
--------63 paragraph: 
